ï»¿State,County,Date Detected,HPAI Strain,Type of Wild Bird,Sampling Source
Nebraska,Cedar,3/14/2022,EA H5N1,Snow goose,Wild bird mortality NDA (9)
Nebraska,Douglas,3/10/2022,EA H5N1,Canada goose,Wild bird mortality NDA (9)
Florida,Brevard,2/26/2022,EA/AM H5N1,Bald eagle,Wild bird mortality USFWS/SCWDS (11)
Missouri,St. Louis,3/10/2022,EA H5N1,Hooded merganser,Wild bird mortality MDC/USGS (15)
Florida,Brevard,2/18/2022,EA/AM H5N1,Lesser scaup,Wild bird mortality FFWCC
Florida,Brevard,2/18/2022,EA/AM H5N1,Lesser scaup,Wild bird mortality FFWCC
Florida,Brevard,2/18/2022,EA H5,Lesser scaup,Wild bird mortality FFWCC
Florida,Brevard,2/18/2022,EA H5,Lesser scaup,Wild bird mortality FFWCC
Missouri,Clay,3/9/2022,EA H5N1,American white pelican,Wild bird mortality MDC/USGS (15)
Illinois,Will,3/9/2022,EA H5N1,Canada goose,Wild bird mortality NWDP/ILDNR/USGS
Illinois,Will,3/9/2022,EA H5,Canada goose,Wild bird mortality NWDP/ILDNR/USGS
Illinois,Will,3/9/2022,EA H5,Canada goose,Wild bird mortality NWDP/ILDNR/USGS
Florida,Brevard,3/9/2022,EA/AM H5N1,Black vulture,Wild bird mortality Brevard Zoo
Florida,Duval,3/9/2022,EA H5N1,Brown pelican,Wild bird mortality FFWCC
Connecticut,New London,3/9/2022,EA H5N1,American black duck,Live bird NWDP
Connecticut,New London,3/9/2022,EA H5N1,American black duck,Live bird NWDP
Florida,Duval,3/15/2022,EA H5N1,Brown pelican,Wild bird mortality NWDP
New Hampshire,Rockingham,3/15/2022,EA H5N1,Snowy owl,Wild bird mortality NWDP
Michigan,Monroe,3/15/2022,EA H5,Mute swan,Agency harvest NWDP
Iowa,Adair,3/15/2022,EA H5,Snow goose,Hunter harvest NWDP
Illinois,Champaign,3/15/2022,EA H5N1,Mallard,Agency harvest NWDP
Iowa,Monona,3/15/2022,EA H5N1,Ross's goose,Hunter harvest NWDP
Massachusetts,Middlesex,3/15/2022,EA H5N1,Canada goose,Wild bird mortality NWDP
Florida,Brevard,3/18/2022,EA H5N1,Black vulture,Wild bird mortality Brevard Zoo
Florida,Brevard,3/18/2022,EA H5,Black vulture,Wild bird mortality Brevard Zoo
Florida,Brevard,3/18/2022,EA/AM H5N1,Black vulture,Wild bird mortality Brevard Zoo
Iowa,Plymouth,3/18/2022,EA H5,Snow goose,Hunter harvest NWDP
Iowa,Plymouth,3/18/2022,EA H5,Snow goose,Hunter harvest NWDP
Iowa,Plymouth,3/18/2022,EA H5N1,Ross's goose,Hunter harvest NWDP
Iowa,Plymouth,3/18/2022,EA H5N1,Ross's goose,Hunter harvest NWDP
